
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-06-11 20:50:06 /api/v1/health .. ~ 500.91ms
 2026-06-11 20:51:04 /api/v1/drafts .. ~ 510.29ms
 2026-06-11 20:51:04 /api/v1/telegram/channel .. ~ 511.90ms
 2026-06-11 20:51:04 /api/v1/telegram/channel .. ~ 2.99ms
 2026-06-11 20:51:06 /api/v1/drafts .. ~ 1.45ms
 2026-06-11 20:51:06 /api/v1/drafts .. ~ 1s
 2026-06-11 20:51:08 /api/v1/telegram/channel .. ~ 13.95ms
 2026-06-11 20:51:12 /api/v1/drafts .. ~ 2.19ms
 2026-06-11 20:51:12 /api/v1/drafts .. ~ 4s
 2026-06-11 20:51:16 /api/v1/drafts .. ~ 1s
 2026-06-11 20:51:17 /api/v1/drafts/1 .. ~ 0.14ms
 2026-06-11 20:51:24 /api/v1/drafts .. ~ 1.92ms
 2026-06-11 20:51:24 /api/v1/telegram/channel .. ~ 0.47ms
 2026-06-11 20:51:24 /api/v1/brand-profile .. ~ 1s
 2026-06-11 20:51:28 /api/v1/drafts .. ~ 2.17ms
 2026-06-11 20:51:28 /api/v1/drafts .. ~ 502.11ms
 2026-06-11 20:51:29 /api/v1/telegram/channel .. ~ 1.99ms
 2026-06-11 20:51:31 /api/v1/telegram/channel .. ~ 1.98ms
 2026-06-11 20:51:31 /api/v1/brand-profile .. ~ 502.00ms
 2026-06-11 20:51:39 /api/v1/drafts .. ~ 2.14ms
 2026-06-11 20:51:39 /api/v1/telegram/channel .. ~ 2.69ms
 2026-06-11 20:51:39 /api/v1/drafts .. ~ 4s
 2026-06-11 20:51:47 /api/v1/drafts/1 .. ~ 2.11ms
 2026-06-11 20:51:47 /api/v1/drafts/1/cancel .. ~ 4s
 2026-06-11 20:51:55 /api/v1/health .. ~ 0.33ms
 2026-06-11 20:51:55 /favicon.ico .. ~ 2.02ms
 2026-06-11 20:52:02 /api/v1/health .. ~ 1.92ms
 2026-06-11 20:52:06 /webhook/telegram .. ~ 9s
 2026-06-11 23:33:20 /api/v1/drafts/1 .. ~ 504.92ms
 2026-06-11 23:33:20 .. ~ 1m 19s
 2026-06-11 23:34:40 /api/v1/health .. ~ 0.11ms
 2026-06-11 23:34:42 /api/v1/drafts .. ~ 1.84ms
 2026-06-11 23:34:42 /api/v1/telegram/channel .. ~ 2.32ms
 2026-06-11 23:34:43 /api/v1/drafts/1 .. ~ 3s
 2026-06-11 23:34:50 /api/v1/drafts/1 .. ~ 2.04ms
 2026-06-11 23:34:50 /api/v1/drafts/1 .. ~ 2s
 2026-06-11 23:34:55 /api/v1/drafts .. ~ 2.00ms
 2026-06-11 23:34:55 /api/v1/telegram/channel .. ~ 2.52ms
 2026-06-11 23:34:55 /api/v1/drafts .. ~ 1s
 2026-06-11 23:34:57 /api/v1/telegram/channel .. ~ 2.13ms
 2026-06-11 23:34:58 /api/v1/telegram/channel/connect .. ~ 27s
 2026-06-11 23:35:25 /api/v1/telegram/channel/connect .. ~ 0.09ms
 2026-06-11 23:35:25 .. ~ 2m 23s
 2026-06-11 23:37:49 /webhook/telegram .. ~ 501.11ms
 2026-06-11 23:38:20 / .. ~ 502.66ms
 2026-06-11 23:38:21 /favicon.ico .. ~ 0.09ms
 2026-06-11 23:38:21 .. ~ 2m 50s
 2026-06-12 00:20:35 /api/v1/drafts .. ~ 501.35ms
 2026-06-12 00:20:35 /api/v1/telegram/channel .. ~ 504.06ms
 2026-06-12 00:20:43 /api/v1/health .. ~ 10.12ms
 2026-06-12 00:20:43 /favicon.ico .. ~ 0.09ms
 2026-06-12 00:20:35 .. ~ 1m 17s
 2026-06-12 00:28:09 /api/v1/drafts .. ~ 1.55ms
 2026-06-12 00:28:09 /api/v1/telegram/channel .. ~ 2.24ms
 2026-06-12 00:28:10 .. ~ 1m 26s
 2026-06-12 00:47:42 /webhook/telegram .. ~ 2s
 2026-06-12 00:47:47 /webhook/telegram .. ~ 512.23ms
 2026-06-12 00:47:50 /webhook/telegram .. ~ 1.98ms
 2026-06-12 00:47:56 /webhook/telegram .. ~ 502.18ms
 2026-06-12 00:48:05 /webhook/telegram .. ~ 501.90ms
 2026-06-12 00:48:22 /webhook/telegram .. ~ 1.93ms
 2026-06-12 00:48:55 /webhook/telegram .. ~ 501.55ms
 2026-06-12 00:50:00 /webhook/telegram .. ~ 1.95ms
 2026-06-12 00:51:07 /webhook/telegram .. ~ 501.68ms
 2026-06-12 00:52:32 /webhook/telegram .. ~ 1.84ms
 2026-06-12 00:52:51 /webhook/telegram .. ~ 501.33ms
 2026-06-12 00:53:55 /webhook/telegram .. ~ 502.04ms
 2026-06-12 00:55:53 /webhook/telegram .. ~ 501.92ms
 2026-06-12 00:56:58 /webhook/telegram .. ~ 502.66ms

 INFO Environment modified. Restarting server.. 

 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-06-12 00:58:38 /webhook/telegram .. ~ 23s
 2026-06-12 01:00:09 /webhook/telegram .. ~ 1.97ms
 2026-06-12 01:01:52 /webhook/telegram .. ~ 502.10ms
 2026-06-12 01:02:55 /webhook/telegram .. ~ 0.25ms
 2026-06-12 01:04:20 /webhook/telegram .. ~ 502.35ms
 2026-06-12 01:05:23 /webhook/telegram .. ~ 501.15ms
 2026-06-12 01:05:24 /webhook/telegram .. ~ 502.79ms
 2026-06-12 01:05:25 /webhook/telegram .. ~ 502.80ms
 2026-06-12 01:05:26 /webhook/telegram .. ~ 2s
 2026-06-12 01:05:28 /webhook/telegram .. ~ 501.97ms
 2026-06-12 01:05:29 /webhook/telegram .. ~ 502.08ms
 2026-06-12 01:05:30 /webhook/telegram .. ~ 1s
 2026-06-12 01:05:32 /webhook/telegram .. ~ 501.38ms
 2026-06-12 01:05:32 /webhook/telegram .. ~ 2s
 2026-06-12 01:05:35 /webhook/telegram .. ~ 501.07ms
 2026-06-12 01:05:36 /webhook/telegram .. ~ 511.08ms
 2026-06-12 01:05:37 /webhook/telegram .. ~ 1s
 2026-06-12 01:06:27 /webhook/telegram .. ~ 500.55ms
 2026-06-12 01:07:16 /webhook/telegram .. ~ 0.23ms
 2026-06-12 01:13:55 /webhook/telegram .. ~ 502.14ms
 2026-06-12 01:14:04 /webhook/telegram .. ~ 500.87ms
 2026-06-12 01:14:09 /webhook/telegram .. ~ 2s
 2026-06-12 01:14:32 /webhook/telegram .. ~ 503.30ms
 2026-06-12 01:23:03 /webhook/telegram .. ~ 1s
 2026-06-12 01:31:06 /webhook/telegram .. ~ 502.35ms
 2026-06-12 01:32:23 /webhook/telegram .. ~ 1s
 2026-06-12 01:32:28 /webhook/telegram .. ~ 1s

 INFO Environment modified. Restarting server.. 

 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-06-12 01:41:00 /webhook/telegram .. ~ 1s
 2026-06-12 01:41:07 /webhook/telegram .. ~ 1s
 2026-06-12 01:41:10 /webhook/telegram .. ~ 1s
 2026-06-12 01:44:15 /api/v1/drafts .. ~ 530.34ms
 2026-06-12 01:44:15 /api/v1/telegram/channel .. ~ 0.19ms
 2026-06-12 01:44:15 /api/v1/telegram/channel .. ~ 5s
 2026-06-12 01:45:05 /api/v1/telegram/channel/connect .. ~ 0.21ms
 2026-06-12 01:45:05 /api/v1/telegram/channel/connect .. ~ 1s
 2026-06-12 01:45:07 /api/v1/drafts .. ~ 15s
 2026-06-12 01:45:22 /api/v1/telegram/channel .. ~ 500.40ms
 2026-06-12 01:45:23 /api/v1/drafts/1 .. ~ 1.86ms
 2026-06-12 01:45:23 /api/v1/drafts .. ~ 25s
 2026-06-12 01:45:50 /api/v1/drafts .. ~ 2.05ms
 2026-06-12 01:45:50 /api/v1/telegram/channel .. ~ 2.90ms
 2026-06-12 01:45:50 /api/v1/drafts .. ~ 501.65ms
 2026-06-12 01:45:52 /api/v1/telegram/channel .. ~ 0.26ms
 2026-06-12 01:45:52 /api/v1/brand-profile .. ~ 502.03ms
 2026-06-12 01:45:55 /api/v1/drafts .. ~ 2.07ms
 2026-06-12 01:45:55 /api/v1/telegram/channel .. ~ 0.14ms
 2026-06-12 01:45:55 /api/v1/drafts .. ~ 0.33ms
 2026-06-12 01:45:57 /api/v1/brand-profile .. ~ 0.27ms
 2026-06-12 01:45:57 /api/v1/telegram/channel .. ~ 0.30ms
 2026-06-12 01:45:57 /api/v1/drafts .. ~ 1s
 2026-06-12 01:45:59 /api/v1/telegram/channel .. ~ 502.27ms
 2026-06-12 01:45:59 /api/v1/drafts .. ~ 0.08ms
 2026-06-12 01:46:00 /api/v1/telegram/channel .. ~ 508.66ms
 2026-06-12 01:46:01 /api/v1/brand-profile .. ~ 2.22ms
 2026-06-12 01:46:01 /api/v1/drafts .. ~ 1s
 2026-06-12 01:46:03 /api/v1/telegram/channel .. ~ 1.83ms
 2026-06-12 02:14:17 /api/v1/drafts .. ~ 501.80ms
 2026-06-12 02:14:17 /api/v1/telegram/channel .. ~ 503.12ms
 2026-06-12 02:14:17 /api/v1/drafts .. ~ 4s
 2026-06-12 02:14:24 /api/v1/drafts/1 .. ~ 1.13ms
 2026-06-12 02:14:24 /api/v1/drafts .. ~ 9s
 2026-06-12 02:14:34 /api/v1/telegram/channel .. ~ 1.99ms
 2026-06-12 02:14:54 /api/v1/drafts .. ~ 1.99ms
 2026-06-12 02:14:54 /api/v1/telegram/channel .. ~ 6s
 2026-06-12 02:15:11 /api/v1/brand-profile .. ~ 1.38ms
 2026-06-12 02:15:12 .. ~ 1m 55s
